2026-06-17 01:57:30 | INFO    | src.extract |   батч 1361/2000, всего активаций: 159846
2026-06-17 01:57:31 | INFO    | src.extract |   батч 1366/2000, всего активаций: 160472
2026-06-17 01:57:33 | INFO    | src.extract |   батч 1371/2000, всего активаций: 161050
2026-06-17 01:57:34 | INFO    | src.extract |   батч 1376/2000, всего активаций: 161646
2026-06-17 01:57:36 | INFO    | src.extract |   батч 1381/2000, всего активаций: 162239
2026-06-17 01:57:37 | INFO    | src.extract |   батч 1386/2000, всего активаций: 162813
2026-06-17 01:57:39 | INFO    | src.extract |   батч 1391/2000, всего активаций: 163381
2026-06-17 01:57:40 | INFO    | src.extract |   батч 1396/2000, всего активаций: 163969
2026-06-17 01:57:42 | INFO    | src.extract |   батч 1401/2000, всего активаций: 164535
2026-06-17 01:57:43 | INFO    | src.extract |   батч 1406/2000, всего активаций: 165175
2026-06-17 01:57:45 | INFO    | src.extract |   батч 1411/2000, всего активаций: 165810
2026-06-17 01:57:46 | INFO    | src.extract |   батч 1416/2000, всего активаций: 166431
2026-06-17 01:57:48 | INFO    | src.extract |   батч 1421/2000, всего активаций: 167088
2026-06-17 01:57:49 | INFO    | src.extract |   батч 1426/2000, всего активаций: 167719
2026-06-17 01:57:51 | INFO    | src.extract |   батч 1431/2000, всего активаций: 168353
2026-06-17 01:57:52 | INFO    | src.extract |   батч 1436/2000, всего активаций: 168994
2026-06-17 01:57:54 | INFO    | src.extract |   батч 1441/2000, всего активаций: 169611
2026-06-17 01:57:56 | INFO    | src.extract |   батч 1446/2000, всего активаций: 170229
2026-06-17 01:57:57 | INFO    | src.extract |   батч 1451/2000, всего активаций: 170857
2026-06-17 01:57:59 | INFO    | src.extract |   батч 1456/2000, всего активаций: 171495
2026-06-17 01:58:00 | INFO    | src.extract |   батч 1461/2000, всего активаций: 172143
2026-06-17 01:58:02 | INFO    | src.extract |   батч 1466/2000, всего активаций: 172768
2026-06-17 01:58:03 | INFO    | src.extract |   батч 1471/2000, всего активаций: 173373
2026-06-17 01:58:05 | INFO    | src.extract |   батч 1476/2000, всего активаций: 173982
2026-06-17 01:58:07 | INFO    | src.extract |   батч 1481/2000, всего активаций: 174660
2026-06-17 01:58:08 | INFO    | src.extract |   батч 1486/2000, всего активаций: 175268
2026-06-17 01:58:10 | INFO    | src.extract |   батч 1491/2000, всего активаций: 175904
2026-06-17 01:58:11 | INFO    | src.extract |   батч 1496/2000, всего активаций: 176555
2026-06-17 01:58:13 | INFO    | src.extract |   батч 1501/2000, всего активаций: 177148
2026-06-17 01:58:14 | INFO    | src.extract |   батч 1506/2000, всего активаций: 177722
2026-06-17 01:58:16 | INFO    | src.extract |   батч 1511/2000, всего активаций: 178342
2026-06-17 01:58:17 | INFO    | src.extract |   батч 1516/2000, всего активаций: 178989
2026-06-17 01:58:19 | INFO    | src.extract |   батч 1521/2000, всего активаций: 179605
2026-06-17 01:58:20 | INFO    | src.extract |   батч 1526/2000, всего активаций: 180231
2026-06-17 01:58:22 | INFO    | src.extract |   батч 1531/2000, всего активаций: 180841
2026-06-17 01:58:23 | INFO    | src.extract |   батч 1536/2000, всего активаций: 181483
2026-06-17 01:58:25 | INFO    | src.extract |   батч 1541/2000, всего активаций: 182124
